#go-basic.obo: fmt(1.2) rel(2018-09-19) 47,343 GO Terms
#Study: 441 vs. Population 38747
#
#44 GO IDs in assc. are not found in the GO-DAG: GO:0030806 GO:0001153 GO:0001152 GO:1904720 GO:0001076 GO:0004871 GO:0030820 GO:0031658 GO:0030817 GO:0001191 GO:0001190 GO:0030818 GO:0030819 GO:0030816 GO:0005057 GO:0030814 GO:0030815 GO:0004716 GO:0001087 GO:0000989 GO:0000988 GO:0001026 GO:1904722 GO:0035625 GO:0001007 GO:0006987 GO:0009400 GO:0001129 GO:0030827 GO:0001084 GO:0030825 GO:0030823 GO:0030969 GO:0030804 GO:0030807 GO:0001082 GO:0030803 GO:0030828 GO:0090485 GO:0004702 GO:0000990 GO:0000991 GO:0031659 GO:0098811
# 47% 18,283 of 38,747 population items found in association
# 53%    235 of    441 study items found in association
#100%    441 of    441 study items found in population(38747)
#Calculating 19,793 uncorrected p-values using fisher
#  19,793 GO terms are associated with 18,283 of 38,747 population items
#   4,015 GO terms are associated with    235 of    441 study items
#       9 GO terms found significant (< 0.05=alpha) after multitest correction: local bonferroni
#      10 GO terms found significant (< 0.05=alpha) after multitest correction: local sidak
#       9 GO terms found significant (< 0.05=alpha) after multitest correction: local holm
#      95 GO terms found significant (< 0.05=alpha) after multitest correction: statsmodels fdr_bh
#  1,075 of 19,793 results have uncorrected P-values <= 0.05=pval
#
# Generated by GOATOOLS v0.8.12 (2019-08-09)
# min_ratio=None pval=0.05
GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
......GO:0052548	BP	e	regulation of endopeptidase activity	14/441	441/38747	0.000608	8	14	1	1	1	0.0786	t12198aep, t17722aep, t17750aep, t19259aep, t21682aep, t22133aep, t31144aep, t3141aep, t3142aep, t34609aep, t36169aep, t36337aep, t5403aep, t7281aep
...GO:0035821	BP	e	modification of morphology or physiology of other organism	6/441	91/38747	0.00062	3	6	1	1	1	0.0797	t24687aep, t34424aep, t34475aep, t35573aep, t38672aep, t38673aep
...GO:0043207	BP	e	response to external biotic stimulus	18/441	659/38747	0.000644	3	18	1	1	1	0.0822	t11117aep, t14055aep, t16424aep, t19405aep, t22133aep, t24687aep, t34385aep, t34424aep, t34475aep, t35573aep, t35608aep, t35837aep, t38672aep, t38673aep, t5914aep, t6387aep, t8582aep, t8645aep
........GO:0071902	BP	e	positive regulation of protein serine/threonine kinase activity	9/441	207/38747	0.000658	11	9	1	1	1	0.0835	t17178aep, t18960aep, t21682aep, t29320aep, t2978aep, t32280aep, t32984aep, t3924aep, t8946aep
....GO:2001023	BP	e	regulation of response to drug	6/441	93/38747	0.000695	4	6	1	1	1	0.0871	t17803aep, t18960aep, t24938aep, t32984aep, t35837aep, t9936aep
..GO:0048266	BP	e	behavioral response to pain   	3/441	16/38747	0.000734	2	3	1	1	1	0.0892	t21682aep, t24938aep, t9936aep
.......GO:0035249	BP	e	synaptic transmission, glutamatergic	3/441	16/38747	0.000734	8	3	1	1	1	0.0892	t17803aep, t24938aep, t9936aep
.....GO:0031645	BP	e	negative regulation of neurological system process	3/441	16/38747	0.000734	6	3	1	1	1	0.0892	t24687aep, t32984aep, t34424aep
..GO:0050789	BP	e	regulation of biological process	137/441	9331/38747	0.000763	2	137	1	1	1	0.0905	t10028aep, t10518aep, t10593aep, t11116aep, t11695aep, t12198aep, t12680aep, t13511aep, t13546aep, t13547aep, t13899aep, t14055aep, t14347aep, t14593aep, t14664aep, t14735aep, t14933aep, t15844aep, t16424aep, t16778aep, t16922aep, t17178aep, t17722aep, t17750aep, t17803aep, t17893aep, t18338aep, t18342aep, t18501aep, t18606aep, t18683aep, t18960aep, t19259aep, t19405aep, t19587aep, t19681aep, t20009aep, t203aep, t20542aep, t20662aep, t21013aep, t21682aep, t22133aep, t22395aep, t23663aep, t2368aep, t24181aep, t24246aep, t24687aep, t24791aep, t2479aep, t24938aep, t24949aep, t25020aep, t25302aep, t25651aep, t25683aep, t26415aep, t2654aep, t26740aep, t26772aep, t27001aep, t27033aep, t2723aep, t27641aep, t28405aep, t28512aep, t28521aep, t28608aep, t29103aep, t29320aep, t29490aep, t29584aep, t29674aep, t2978aep, t30054aep, t30176aep, t30358aep, t31144aep, t31344aep, t3141aep, t3142aep, t31838aep, t31944aep, t31997aep, t32280aep, t32388aep, t32561aep, t32984aep, t33020aep, t33022aep, t34385aep, t34424aep, t34475aep, t34538aep, t34609aep, t35146aep, t35271aep, t35488aep, t35573aep, t35608aep, t35837aep, t36169aep, t36337aep, t36613aep, t37004aep, t37043aep, t38432aep, t38458aep, t38653aep, t38672aep, t38673aep, t3924aep, t4831aep, t4924aep, t526aep, t527aep, t536aep, t5403aep, t5862aep, t5914aep, t6387aep, t6933aep, t7281aep, t7288aep, t7326aep, t7388aep, t7577aep, t7712aep, t8142aep, t8490aep, t8582aep, t8645aep, t8946aep, t9529aep, t9802aep, t9936aep
...GO:0043616	BP	e	keratinocyte proliferation    	2/441	4/38747	0.000764	3	2	1	1	1	0.0905	t24687aep, t34424aep
.....GO:0030240	BP	e	skeletal muscle thin filament assembly	2/441	4/38747	0.000764	5	2	1	1	1	0.0905	t20542aep, t37004aep
.......GO:0045415	BP	e	negative regulation of interleukin-8 biosynthetic process	2/441	4/38747	0.000764	8	2	1	1	1	0.0905	t24687aep, t34424aep
...GO:0051239	BP	e	regulation of multicellular organismal process	40/441	2031/38747	0.000782	3	40	1	1	1	0.0921	t10028aep, t12680aep, t13546aep, t13547aep, t14055aep, t16424aep, t16778aep, t17178aep, t17803aep, t18683aep, t19259aep, t20542aep, t21013aep, t21682aep, t22133aep, t2368aep, t24181aep, t24687aep, t2479aep, t24938aep, t32280aep, t32984aep, t33020aep, t34385aep, t34424aep, t34609aep, t35146aep, t35271aep, t35488aep, t35608aep, t37004aep, t527aep, t5403aep, t6387aep, t7326aep, t7388aep, t8582aep, t8645aep, t8946aep, t9936aep
....GO:0032101	BP	e	regulation of response to external stimulus	15/441	506/38747	0.000792	4	15	1	1	1	0.0927	t10028aep, t16424aep, t17178aep, t19259aep, t20542aep, t21682aep, t22133aep, t24687aep, t34424aep, t35608aep, t35837aep, t7388aep, t8582aep, t8645aep, t8946aep
....GO:0021515	BP	e	cell differentiation in spinal cord	4/441	37/38747	0.000812	4	4	1	1	1	0.0946	t17803aep, t24938aep, t8582aep, t9936aep
.....GO:0033238	BP	e	regulation of cellular amine metabolic process	5/441	64/38747	0.00082	5	5	1	1	1	0.0946	t17803aep, t24938aep, t32280aep, t38653aep, t9936aep
..GO:0008037	BP	e	cell recognition              	8/441	172/38747	0.000841	2	8	1	1	1	0.0962	t14055aep, t16424aep, t19587aep, t34385aep, t35573aep, t38672aep, t38673aep, t7326aep
.....GO:0048366	BP	e	leaf development              	3/441	17/38747	0.000884	5	3	1	1	1	0.0989	t35573aep, t38672aep, t38673aep
....GO:0080134	BP	e	regulation of response to stress	23/441	955/38747	0.000891	4	23	1	1	1	0.099	t16424aep, t16778aep, t17178aep, t18960aep, t19259aep, t20542aep, t21682aep, t22133aep, t24181aep, t24687aep, t2978aep, t32984aep, t34424aep, t34475aep, t35608aep, t35837aep, t3924aep, t6387aep, t7326aep, t7388aep, t8582aep, t8645aep, t8946aep
....GO:0048523	BP	e	negative regulation of cellular process	57/441	3223/38747	0.000919	4	57	1	1	1	0.1	t11695aep, t12198aep, t14055aep, t16424aep, t16778aep, t17722aep, t17750aep, t17803aep, t18338aep, t18960aep, t19259aep, t19405aep, t19587aep, t203aep, t20542aep, t20662aep, t21682aep, t24687aep, t24938aep, t25020aep, t2654aep, t26772aep, t27033aep, t29674aep, t2978aep, t30176aep, t31144aep, t3141aep, t3142aep, t32280aep, t32984aep, t33020aep, t33022aep, t34385aep, t34424aep, t34609aep, t35488aep, t35573aep, t35837aep, t36169aep, t36337aep, t37043aep, t38653aep, t38672aep, t3924aep, t4924aep, t5403aep, t5914aep, t6387aep, t7281aep, t7326aep, t8142aep, t8490aep, t8582aep, t8645aep, t8946aep, t9936aep
.......GO:0070838	BP	e	divalent metal ion transport  	12/441	358/38747	0.00092	7	12	1	1	1	0.1	t17803aep, t18338aep, t203aep, t24246aep, t24938aep, t25020aep, t3282aep, t36613aep, t526aep, t527aep, t6933aep, t9936aep
..GO:0009607	BP	e	response to biotic stimulus   	19/441	719/38747	0.00093	2	19	1	1	1	0.101	t11117aep, t13269aep, t14055aep, t16424aep, t19405aep, t22133aep, t24687aep, t34385aep, t34424aep, t34475aep, t35573aep, t35608aep, t35837aep, t38672aep, t38673aep, t5914aep, t6387aep, t8582aep, t8645aep
......GO:0034765	BP	e	regulation of ion transmembrane transport	12/441	359/38747	0.000942	6	12	1	1	1	0.101	t14664aep, t17803aep, t18338aep, t203aep, t21682aep, t24938aep, t25020aep, t32280aep, t36613aep, t526aep, t527aep, t9936aep
..GO:0050817	BP	e	coagulation                   	6/441	99/38747	0.000966	2	6	1	1	1	0.103	t21013aep, t24687aep, t31144aep, t34424aep, t7388aep, t8645aep
..GO:0016458	BP	e	gene silencing                	8/441	176/38747	0.000975	7	8	1	1	1	0.103	t26740aep, t28521aep, t35488aep, t35573aep, t38672aep, t38673aep, t5914aep, t8582aep
........GO:0032147	BP	e	activation of protein kinase activity	9/441	219/38747	0.00098	11	9	1	1	1	0.103	t17178aep, t18960aep, t21682aep, t29320aep, t2978aep, t32280aep, t32984aep, t3924aep, t8946aep
...GO:0050878	BP	e	regulation of body fluid levels	9/441	219/38747	0.00098	3	9	1	1	1	0.103	t21013aep, t21682aep, t24687aep, t2479aep, t31144aep, t33020aep, t34424aep, t7388aep, t8645aep
....GO:0044003	BP	e	modification by symbiont of host morphology or physiology	4/441	39/38747	0.000993	5	4	1	1	1	0.104	t34475aep, t35573aep, t38672aep, t38673aep
....GO:0002684	BP	e	positive regulation of immune system process	14/441	466/38747	0.00103	4	14	1	1	1	0.106	t16424aep, t16778aep, t17178aep, t20542aep, t21682aep, t22133aep, t24181aep, t24687aep, t31838aep, t34424aep, t34475aep, t35608aep, t5403aep, t6387aep
......GO:0051248	BP	e	negative regulation of protein metabolic process	23/441	971/38747	0.00103	6	23	1	1	1	0.106	t12198aep, t17722aep, t17750aep, t203aep, t20662aep, t21682aep, t24687aep, t2654aep, t2978aep, t31144aep, t3141aep, t3142aep, t32984aep, t34385aep, t34424aep, t34609aep, t35488aep, t36169aep, t36337aep, t37043aep, t38672aep, t8490aep, t8582aep
........GO:0006816	BP	e	calcium ion transport         	11/441	314/38747	0.00104	8	11	1	1	1	0.106	t17803aep, t18338aep, t203aep, t24246aep, t24938aep, t25020aep, t3282aep, t36613aep, t526aep, t527aep, t9936aep
........GO:0030244	BP	e	cellulose biosynthetic process	3/441	18/38747	0.00105	9	3	1	1	1	0.106	t29612aep, t35271aep, t5520aep
.....GO:0002526	BP	e	acute inflammatory response   	3/441	18/38747	0.00105	5	3	1	1	1	0.106	t17750aep, t24687aep, t34424aep
....GO:0048827	BP	e	phyllome development          	3/441	18/38747	0.00105	4	3	1	1	1	0.106	t35573aep, t38672aep, t38673aep
....GO:0051128	BP	e	regulation of cellular component organization	41/441	2135/38747	0.00107	4	41	1	1	1	0.107	t10028aep, t11695aep, t12198aep, t13511aep, t13546aep, t13547aep, t16424aep, t16778aep, t17803aep, t18606aep, t18683aep, t18960aep, t19259aep, t19587aep, t19681aep, t20542aep, t21682aep, t22133aep, t22395aep, t2368aep, t24687aep, t24938aep, t27033aep, t28512aep, t29103aep, t2978aep, t30358aep, t3141aep, t3142aep, t32984aep, t33020aep, t34385aep, t34424aep, t34609aep, t35146aep, t36337aep, t38653aep, t7288aep, t7326aep, t8946aep, t9936aep
....GO:0002697	BP	e	regulation of immune effector process	8/441	179/38747	0.00109	4	8	1	1	1	0.107	t16424aep, t17178aep, t24687aep, t31838aep, t34424aep, t35608aep, t6387aep, t8645aep
.....GO:0046717	BP	e	acid secretion                	5/441	69/38747	0.00115	5	5	1	1	1	0.113	t17803aep, t24938aep, t32280aep, t8222aep, t9936aep
....GO:0014070	BP	e	response to organic cyclic compound	15/441	527/38747	0.00119	4	15	1	1	1	0.116	t14055aep, t16424aep, t18960aep, t19405aep, t203aep, t21682aep, t2368aep, t32280aep, t32984aep, t35573aep, t38672aep, t38673aep, t5403aep, t5914aep, t8582aep
.....GO:0051346	BP	e	negative regulation of hydrolase activity	15/441	528/38747	0.00121	5	15	1	1	1	0.116	t12198aep, t17722aep, t17750aep, t21682aep, t2654aep, t31144aep, t3141aep, t3142aep, t32984aep, t34385aep, t34609aep, t36169aep, t36337aep, t37043aep, t38653aep
......GO:0030001	BP	e	metal ion transport           	23/441	988/38747	0.00123	6	23	1	1	1	0.116	t14664aep, t17803aep, t17956aep, t18338aep, t203aep, t24246aep, t2479aep, t24938aep, t25020aep, t29612aep, t3227aep, t3282aep, t33764aep, t35271aep, t36613aep, t37460aep, t38611aep, t526aep, t527aep, t5520aep, t6933aep, t7288aep, t9936aep
......GO:0042981	BP	e	regulation of apoptotic process	25/441	1101/38747	0.00124	6	25	1	1	1	0.116	t10518aep, t14055aep, t17178aep, t17803aep, t18960aep, t19259aep, t21682aep, t22133aep, t24687aep, t24938aep, t27001aep, t2723aep, t29320aep, t32984aep, t33020aep, t34424aep, t34538aep, t36337aep, t3924aep, t4831aep, t5403aep, t7281aep, t8582aep, t8946aep, t9936aep
.....GO:0030002	BP	e	cellular anion homeostasis    	3/441	19/38747	0.00124	7	3	1	1	1	0.116	t17803aep, t24938aep, t9936aep
.......GO:1904996	BP	e	positive regulation of leukocyte adhesion to vascular endothelial cell	2/441	5/38747	0.00126	7	2	1	1	1	0.116	t24687aep, t34424aep
......GO:1900740	BP	e	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	2/441	5/38747	0.00126	10	2	1	1	1	0.116	t24687aep, t34424aep
.......GO:1903238	BP	e	positive regulation of leukocyte tethering or rolling	2/441	5/38747	0.00126	10	2	1	1	1	0.116	t24687aep, t34424aep
......GO:0051516	BP	e	regulation of bipolar cell growth	2/441	5/38747	0.00126	7	2	1	1	1	0.116	t13546aep, t13547aep
....GO:0008039	BP	e	synaptic target recognition   	2/441	5/38747	0.00126	4	2	1	1	1	0.116	t14055aep, t19587aep
...GO:0010074	BP	e	maintenance of meristem identity	2/441	5/38747	0.00126	4	2	1	1	1	0.116	t38672aep, t38673aep
........GO:0098795	BP	e	mRNA cleavage involved in gene silencing	2/441	5/38747	0.00126	9	2	1	1	1	0.116	t35488aep, t8582aep
....GO:0010646	BP	e	regulation of cell communication	47/441	2539/38747	0.00128	4	47	1	1	1	0.117	t11695aep, t13546aep, t13547aep, t16424aep, t16778aep, t17178aep, t17803aep, t18338aep, t18960aep, t19587aep, t203aep, t20542aep, t20662aep, t21013aep, t21682aep, t22133aep, t24246aep, t24687aep, t2479aep, t24938aep, t25020aep, t29103aep, t29320aep, t29674aep, t2978aep, t30176aep, t31144aep, t31838aep, t32280aep, t32984aep, t33022aep, t34385aep, t34424aep, t35146aep, t35608aep, t35837aep, t3924aep, t4924aep, t5403aep, t6387aep, t7281aep, t7326aep, t8142aep, t8582aep, t8645aep, t8946aep, t9936aep
...GO:0019222	BP	e	regulation of metabolic process	88/441	5570/38747	0.00129	3	88	1	1	1	0.117	t10593aep, t11695aep, t12198aep, t13546aep, t13547aep, t13899aep, t14055aep, t14593aep, t14735aep, t16424aep, t16778aep, t16922aep, t17178aep, t17722aep, t17750aep, t17803aep, t17893aep, t18342aep, t18960aep, t19259aep, t19405aep, t20009aep, t203aep, t20542aep, t20662aep, t21013aep, t21682aep, t22133aep, t23663aep, t24687aep, t24791aep, t24938aep, t24949aep, t25302aep, t25651aep, t25683aep, t2654aep, t26740aep, t26772aep, t27641aep, t28405aep, t28521aep, t28608aep, t29320aep, t29490aep, t29584aep, t2978aep, t30054aep, t31144aep, t3141aep, t3142aep, t31997aep, t32280aep, t32561aep, t32984aep, t33020aep, t34385aep, t34424aep, t34538aep, t34609aep, t35488aep, t35573aep, t35837aep, t36169aep, t36337aep, t37004aep, t37043aep, t38458aep, t38653aep, t38672aep, t38673aep, t3924aep, t4831aep, t4924aep, t5403aep, t5862aep, t5914aep, t6933aep, t7281aep, t7326aep, t7577aep, t7712aep, t8490aep, t8582aep, t8645aep, t8946aep, t9529aep, t9936aep
..GO:0006950	BP	e	response to stress            	57/441	3252/38747	0.0013	2	57	1	1	1	0.117	t11117aep, t12198aep, t13937aep, t16424aep, t16778aep, t17178aep, t17750aep, t17803aep, t18338aep, t18960aep, t19405aep, t20542aep, t21013aep, t21682aep, t22133aep, t23663aep, t24246aep, t24687aep, t24791aep, t2479aep, t24949aep, t25020aep, t25302aep, t26772aep, t29320aep, t29490aep, t29674aep, t2978aep, t30054aep, t31997aep, t32280aep, t32984aep, t33020aep, t33022aep, t34385aep, t34424aep, t34475aep, t35573aep, t35608aep, t35837aep, t36337aep, t38672aep, t38673aep, t3924aep, t4831aep, t5068aep, t5862aep, t5914aep, t6387aep, t7281aep, t7326aep, t7388aep, t8142aep, t8582aep, t8645aep, t8946aep, t8951aep
....GO:0007416	BP	e	synapse assembly              	4/441	42/38747	0.00132	4	4	1	1	1	0.118	t2368aep, t24938aep, t37004aep, t9936aep
...GO:0048583	BP	e	regulation of response to stimulus	52/441	2895/38747	0.00132	3	52	1	1	1	0.118	t10028aep, t11695aep, t13546aep, t13547aep, t16424aep, t16778aep, t17178aep, t17803aep, t18338aep, t18960aep, t19259aep, t19587aep, t203aep, t20542aep, t20662aep, t21013aep, t21682aep, t22133aep, t24181aep, t24246aep, t24687aep, t24938aep, t25020aep, t2654aep, t29103aep, t29320aep, t29674aep, t2978aep, t30176aep, t31144aep, t31838aep, t32280aep, t32984aep, t33022aep, t34424aep, t34475aep, t35146aep, t35488aep, t35608aep, t35837aep, t3924aep, t4924aep, t5403aep, t6387aep, t7281aep, t7326aep, t7388aep, t8142aep, t8582aep, t8645aep, t8946aep, t9936aep
.GO:0032501	BP	e	multicellular organismal process	54/441	3062/38747	0.00132	1	54	1	1	1	0.118	t10028aep, t10593aep, t11116aep, t12198aep, t12680aep, t13546aep, t13547aep, t14055aep, t16424aep, t17803aep, t18338aep, t19259aep, t203aep, t20542aep, t21013aep, t21682aep, t22133aep, t23648aep, t23663aep, t24687aep, t2479aep, t24938aep, t25020aep, t25302aep, t26415aep, t27094aep, t29103aep, t29490aep, t31144aep, t32280aep, t32561aep, t32984aep, t33020aep, t34424aep, t34609aep, t35488aep, t36169aep, t37043aep, t37405aep, t38432aep, t38611aep, t38672aep, t38673aep, t4831aep, t526aep, t527aep, t6387aep, t7326aep, t7388aep, t8582aep, t8645aep, t8946aep, t9529aep, t9936aep
...GO:0023051	BP	e	regulation of signaling       	47/441	2564/38747	0.00136	3	47	1	1	1	0.121	t11695aep, t13546aep, t13547aep, t16424aep, t16778aep, t17178aep, t17803aep, t18338aep, t18960aep, t19587aep, t203aep, t20542aep, t20662aep, t21013aep, t21682aep, t22133aep, t24246aep, t24687aep, t2479aep, t24938aep, t25020aep, t29103aep, t29320aep, t29674aep, t2978aep, t30176aep, t31144aep, t31838aep, t32280aep, t32984aep, t33022aep, t34385aep, t34424aep, t35146aep, t35608aep, t35837aep, t3924aep, t4924aep, t5403aep, t6387aep, t7281aep, t7326aep, t8142aep, t8582aep, t8645aep, t8946aep, t9936aep
.......GO:0071900	BP	e	regulation of protein serine/threonine kinase activity	12/441	375/38747	0.00136	10	12	1	1	1	0.121	t17178aep, t18960aep, t20662aep, t21682aep, t22133aep, t29320aep, t2978aep, t32280aep, t32984aep, t3924aep, t7326aep, t8946aep
....GO:0023057	BP	e	negative regulation of signaling	22/441	929/38747	0.00138	4	22	1	1	1	0.121	t11695aep, t16424aep, t16778aep, t18338aep, t19587aep, t20662aep, t21682aep, t25020aep, t29674aep, t2978aep, t30176aep, t31144aep, t32280aep, t32984aep, t33022aep, t35837aep, t4924aep, t5403aep, t7326aep, t8142aep, t8645aep, t8946aep
.......GO:0045861	BP	e	negative regulation of proteolysis	13/441	428/38747	0.0014	8	13	1	1	1	0.122	t12198aep, t17722aep, t17750aep, t21682aep, t31144aep, t3141aep, t3142aep, t32984aep, t34385aep, t34609aep, t36169aep, t36337aep, t37043aep
.......GO:0051274	BP	e	beta-glucan biosynthetic process	3/441	20/38747	0.00145	8	3	1	1	1	0.123	t29612aep, t35271aep, t5520aep
..GO:0001909	BP	e	leukocyte mediated cytotoxicity	3/441	20/38747	0.00145	2	3	1	1	1	0.123	t24687aep, t31838aep, t34424aep
......GO:0035545	BP	e	determination of left/right asymmetry in nervous system	3/441	20/38747	0.00145	6	3	1	1	1	0.123	t18338aep, t25020aep, t9936aep
...GO:0032989	BP	e	cellular component morphogenesis	16/441	594/38747	0.00146	3	16	1	1	1	0.124	t14055aep, t17803aep, t20542aep, t22133aep, t24687aep, t24938aep, t32984aep, t33020aep, t34424aep, t37004aep, t38432aep, t38611aep, t7326aep, t8582aep, t8946aep, t9936aep
.....GO:0034220	BP	e	ion transmembrane transport   	29/441	1353/38747	0.00147	5	29	1	1	1	0.124	t14664aep, t15078aep, t16922aep, t17750aep, t17803aep, t18338aep, t20009aep, t203aep, t24246aep, t2479aep, t24938aep, t25020aep, t27641aep, t29612aep, t29674aep, t30176aep, t31144aep, t3282aep, t33022aep, t33764aep, t35271aep, t36613aep, t37460aep, t526aep, t527aep, t5520aep, t6933aep, t8142aep, t9936aep
....GO:0010941	BP	e	regulation of cell death      	27/441	1250/38747	0.00158	4	27	1	1	1	0.133	t10518aep, t14055aep, t17178aep, t17803aep, t18960aep, t19259aep, t19405aep, t21682aep, t22133aep, t24687aep, t24938aep, t27001aep, t2723aep, t29320aep, t32984aep, t33020aep, t34424aep, t34538aep, t35837aep, t36337aep, t3924aep, t4831aep, t5403aep, t7281aep, t8582aep, t8946aep, t9936aep
...GO:0012501	BP	e	programmed cell death         	14/441	488/38747	0.00159	3	14	1	1	1	0.133	t10518aep, t13546aep, t13547aep, t13899aep, t14055aep, t16182aep, t17178aep, t19259aep, t20542aep, t33020aep, t36337aep, t5403aep, t7281aep, t8645aep
.....GO:0031324	BP	e	negative regulation of cellular metabolic process	37/441	1887/38747	0.00163	5	37	1	1	1	0.135	t11695aep, t12198aep, t14055aep, t16424aep, t16778aep, t17722aep, t17750aep, t17803aep, t18960aep, t19405aep, t203aep, t20662aep, t21682aep, t24687aep, t24938aep, t2654aep, t26772aep, t2978aep, t31144aep, t3141aep, t3142aep, t32984aep, t34385aep, t34424aep, t34609aep, t35488aep, t35573aep, t36169aep, t36337aep, t37043aep, t38653aep, t38672aep, t5914aep, t8490aep, t8582aep, t8645aep, t9936aep
......GO:0072511	BP	e	divalent inorganic cation transport	12/441	384/38747	0.00166	6	12	1	1	1	0.137	t17803aep, t18338aep, t203aep, t24246aep, t24938aep, t25020aep, t3282aep, t36613aep, t526aep, t527aep, t6933aep, t9936aep
.......GO:0043405	BP	e	regulation of MAP kinase activity	9/441	237/38747	0.00169	11	9	1	1	1	0.138	t17178aep, t20662aep, t21682aep, t22133aep, t29320aep, t32280aep, t32984aep, t3924aep, t8946aep
.GO:0007610	BP	e	behavior                      	18/441	709/38747	0.00174	1	18	1	1	1	0.142	t11116aep, t13546aep, t13547aep, t17803aep, t18338aep, t21682aep, t23648aep, t24246aep, t24687aep, t24938aep, t25020aep, t32280aep, t32984aep, t34424aep, t35488aep, t526aep, t8946aep, t9936aep
....GO:0048585	BP	e	negative regulation of response to stimulus	24/441	1069/38747	0.00178	4	24	1	1	1	0.144	t11695aep, t16424aep, t16778aep, t18338aep, t19259aep, t19587aep, t20662aep, t21682aep, t24687aep, t25020aep, t29674aep, t30176aep, t31144aep, t32984aep, t33022aep, t34424aep, t35837aep, t4924aep, t5403aep, t7326aep, t7388aep, t8142aep, t8645aep, t8946aep
.......GO:0048813	BP	e	dendrite morphogenesis        	4/441	46/38747	0.00185	8	4	1	1	1	0.144	t14055aep, t17803aep, t37004aep, t9936aep
....GO:0007503	BP	e	fat body development          	2/441	6/38747	0.00188	6	2	1	1	1	0.144	t16424aep, t38653aep
.....GO:0002786	BP	e	regulation of antibacterial peptide production	2/441	6/38747	0.00188	8	2	1	1	1	0.144	t24687aep, t34424aep
......GO:0045414	BP	e	regulation of interleukin-8 biosynthetic process	2/441	6/38747	0.00188	7	2	1	1	1	0.144	t24687aep, t34424aep
....GO:0009616	BP	e	virus induced gene silencing  	2/441	6/38747	0.00188	7	2	1	1	1	0.144	t38672aep, t38673aep
....GO:0021590	BP	e	cerebellum maturation         	2/441	6/38747	0.00188	4	2	1	1	1	0.144	t17803aep, t9936aep
.....GO:0031642	BP	e	negative regulation of myelination	2/441	6/38747	0.00188	7	2	1	1	1	0.144	t24687aep, t34424aep
.....GO:1901165	BP	e	positive regulation of trophoblast cell migration	2/441	6/38747	0.00188	8	2	1	1	1	0.144	t35146aep, t35488aep
...GO:0050881	BP	e	musculoskeletal movement      	3/441	22/38747	0.00192	3	3	1	1	1	0.146	t17803aep, t24938aep, t9936aep
....GO:1900424	BP	e	regulation of defense response to bacterium	3/441	22/38747	0.00192	6	3	1	1	1	0.146	t24687aep, t34424aep, t35837aep
..GO:0050879	BP	e	multicellular organismal movement	3/441	22/38747	0.00192	2	3	1	1	1	0.146	t17803aep, t24938aep, t9936aep
......GO:0051260	BP	e	protein homooligomerization   	10/441	290/38747	0.00195	6	10	1	1	1	0.147	t14664aep, t17178aep, t21013aep, t22133aep, t29674aep, t30176aep, t33022aep, t36337aep, t38653aep, t8142aep
....GO:0009892	BP	e	negative regulation of metabolic process	42/441	2253/38747	0.00196	4	42	1	1	1	0.147	t11695aep, t12198aep, t14055aep, t16424aep, t16778aep, t17722aep, t17750aep, t17803aep, t18960aep, t19405aep, t203aep, t20662aep, t21682aep, t22133aep, t24687aep, t24938aep, t2654aep, t26740aep, t26772aep, t28521aep, t2978aep, t31144aep, t3141aep, t3142aep, t32280aep, t32984aep, t34385aep, t34424aep, t34609aep, t35488aep, t35573aep, t36169aep, t36337aep, t37043aep, t38653aep, t38672aep, t38673aep, t5914aep, t8490aep, t8582aep, t8645aep, t9936aep
...GO:0001505	BP	e	regulation of neurotransmitter levels	10/441	291/38747	0.002	3	10	1	1	1	0.15	t13546aep, t13547aep, t17803aep, t18338aep, t20542aep, t24938aep, t25020aep, t32280aep, t32984aep, t9936aep
.....GO:0032456	BP	e	endocytic recycling           	4/441	47/38747	0.00201	6	4	1	1	1	0.15	t13546aep, t13547aep, t22133aep, t7326aep
